index_e,sentence,Ent1,Ent2,has_relation,relation
6,"[E1] Membro Mucuri [/E1], [E2] Eocretáceo [/E2]    Bacia    Espirito Santo..",UNIDADE_LITO,UNIDADE_CRONO,False,no_relation
6,"[E1] Membro Mucuri [/E1], Eocretáceo    [E2] Bacia    Espirito Santo [/E2]..",UNIDADE_LITO,BACIA,True,located_in
6,"[E2] Membro Mucuri [/E2], [E1] Eocretáceo [/E1]    Bacia    Espirito Santo..",UNIDADE_CRONO,UNIDADE_LITO,False,no_relation
6,"Membro Mucuri, [E1] Eocretáceo [/E1]    [E2] Bacia    Espirito Santo [/E2]..",UNIDADE_CRONO,BACIA,False,no_relation
6,"[E2] Membro Mucuri [/E2], Eocretáceo    [E1] Bacia    Espirito Santo [/E1]..",BACIA,UNIDADE_LITO,False,no_relation
6,"Membro Mucuri, [E2] Eocretáceo [/E2]    [E1] Bacia    Espirito Santo [/E1]..",BACIA,UNIDADE_CRONO,False,no_relation
36,Ferreira 121 a Expressão de Reativações Pós-intrusão    Enxame de Diques Rio Ceará Mirim ([E1] Mesozóico [/E1]): Implicações Evolução Tectônica    [E2] Bacia Potiguar [/E2] .,UNIDADE_CRONO,BACIA,False,no_relation
36,Ferreira 121 a Expressão de Reativações Pós-intrusão    Enxame de Diques Rio Ceará Mirim ([E2] Mesozóico [/E2]): Implicações Evolução Tectônica    [E1] Bacia Potiguar [/E1] .,BACIA,UNIDADE_CRONO,False,no_relation
49,"Esses conceitos foram inicialmente propostos para [E1] bacias [/E1] marginais marinhas; todavia, seu sucesso foi tão grande, que os mesmos foram ajustados para outras classes de [E2] bacias [/E2]..",BACIA,BACIA,False,no_relation
49,"Esses conceitos foram inicialmente propostos para [E2] bacias [/E2] marginais marinhas; todavia, seu sucesso foi tão grande, que os mesmos foram ajustados para outras classes de [E1] bacias [/E1]..",BACIA,BACIA,False,no_relation
54,Vail et al. (1977) observaram evidências de onlap sobre [E1] discordâncias [/E1] regionais em seções sismicas dip através de [E2] bacias [/E2] de margem passiva..,ESTRUTURA_FÍSICA,BACIA,False,no_relation
54,Vail et al. (1977) observaram evidências de onlap sobre [E2] discordâncias [/E2] regionais em seções sismicas dip através de [E1] bacias [/E1] de margem passiva..,BACIA,ESTRUTURA_FÍSICA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E1] bacias [/E1] sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
