#Sentence,sentence,Ent1,Ent2,URI_1,URI_2,has_relation,relation
6,"[E1] Membro Mucuri [/E1], [E2] Eocretáceo [/E2]    Bacia    Espirito Santo..",UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#LowerCretaceous,False,no_relation
6,"[E1] Membro Mucuri [/E1], Eocretáceo    [E2] Bacia    Espirito Santo [/E2]..",UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,True,located_in
6,"[E2] Membro Mucuri [/E2], [E1] Eocretáceo [/E1]    Bacia    Espirito Santo..",UNIDADE_CRONO,UNIDADE_LITO,#LowerCretaceous,#membro_010,False,no_relation
6,"Membro Mucuri, [E1] Eocretáceo [/E1]    [E2] Bacia    Espirito Santo [/E2]..",UNIDADE_CRONO,BACIA,#LowerCretaceous,#BASE_CD_BACIA_270,False,no_relation
6,"[E2] Membro Mucuri [/E2], Eocretáceo    [E1] Bacia    Espirito Santo [/E1]..",BACIA,UNIDADE_LITO,#BASE_CD_BACIA_270,#membro_010,False,no_relation
6,"Membro Mucuri, [E2] Eocretáceo [/E2]    [E1] Bacia    Espirito Santo [/E1]..",BACIA,UNIDADE_CRONO,#BASE_CD_BACIA_270,#LowerCretaceous,False,no_relation
36,Ferreira 121 a Expressão de Reativações Pós-intrusão    Enxame de Diques Rio Ceará Mirim (Mesozóico):[E1]  Implicaç [/E1]ões Evolução Tectônica    [E2] Bacia Potiguar [/E2] .,UNIDADE_CRONO,BACIA,#Mesozoic,#BASE_CD_BACIA_100,False,no_relation
36,Ferreira 121 a Expressão de Reativações Pós-intrusão    Enxame de Diques Rio Ceará Mirim (Mesozóico):[E2]  Implicaç [/E2]ões Evolução Tectônica    [E1] Bacia Potiguar [/E1] .,BACIA,UNIDADE_CRONO,#BASE_CD_BACIA_100,#Mesozoic,False,no_relation
49,"Esses conceitos foram inicialmente propostos para bacias marg[E1] inais  [/E1]marinhas; todavia, seu sucesso foi tão grande, que os mesmos foram ajustados para outras classes de [E2] bacias [/E2]..",BACIA,BACIA,#basin,#basin,False,no_relation
49,"Esses conceitos foram inicialmente propostos para bacias marg[E2] inais  [/E2]marinhas; todavia, seu sucesso foi tão grande, que os mesmos foram ajustados para outras classes de [E1] bacias [/E1]..",BACIA,BACIA,#basin,#basin,False,no_relation
54,Vail et al. (1977) observaram evidências de onlap sobre discordânci[E1] as regionais  [/E1]em seções sismicas dip através de [E2] bacias [/E2] de margem passiva..,ESTRUTURA_FÍSICA,BACIA,#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,#basin,False,no_relation
54,Vail et al. (1977) observaram evidências de onlap sobre discordânci[E2] as regionais  [/E2]em seções sismicas dip através de [E1] bacias [/E1] de margem passiva..,BACIA,ESTRUTURA_FÍSICA,#basin,#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,False,no_relation
