Relation,Ent1,Ent2,URI_1,URI_2,#Sentence
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,6
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,180
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,234
located_in,POÇO,BACIA,#POCO_CD_POCO_007553,#BASE_CD_BACIA_116,351
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Aptian,364
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Albian,364
located_in,POÇO,BACIA,#POCO_CD_POCO_007553,#BASE_CD_BACIA_116,380
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Albian,382
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Aptian,382
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Albian,395
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Aptian,395
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Aptian,413
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Aptian,413
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Albian,413
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Aptian,413
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Albian,413
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Aptian,413
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Albian,415
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Albian,415
located_in,UNIDADE_LITO,BACIA,#grupo_000,#BASE_CD_BACIA_281,422
located_in,POÇO,BACIA,#POCO_CD_POCO_012996,#BASE_CD_BACIA_096,457
located_in,POÇO,BACIA,#POCO_CD_POCO_010471,#BASE_CD_BACIA_116,457
located_in,POÇO,BACIA,#POCO_CD_POCO_010471,#BASE_CD_BACIA_116,457
located_in,POÇO,BACIA,#POCO_CD_POCO_012996,#BASE_CD_BACIA_096,466
located_in,POÇO,BACIA,#POCO_CD_POCO_010471,#BASE_CD_BACIA_116,466
located_in,POÇO,BACIA,#POCO_CD_POCO_010471,#BASE_CD_BACIA_116,466
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cenomanian,#Turonian,471
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Turonian,#Cenomanian,471
