Relation,Ent1,Ent2,URI_1,URI_2,#Sentence
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,2
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,16
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,16
constituted_by,UNIDADE_LITO,ROCHA,#formacao_296,#sandstone,17
constituted_by,UNIDADE_LITO,ROCHA,#formacao_200,#sandstone,17
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,18
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,25
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,25
constituted_by,UNIDADE_LITO,ROCHA,#formacao_296,#sandstone,25
located_in,UNIDADE_LITO,BACIA,#formacao_296,#BASE_CD_BACIA_096,25
located_in,UNIDADE_LITO,BACIA,#formacao_296,#BASE_CD_BACIA_096,25
constituted_by,UNIDADE_LITO,FLUIDODATERRA_i,#formacao_200,#oil,25
constituted_by,UNIDADE_LITO,ROCHA,#formacao_200,#sandstone,25
located_in,UNIDADE_LITO,BACIA,#formacao_200,#BASE_CD_BACIA_096,25
located_in,UNIDADE_LITO,BACIA,#formacao_200,#BASE_CD_BACIA_096,25
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,180
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,180
located_in,UNIDADE_LITO,BACIA,#formacao_187,#BASE_CD_BACIA_030,183
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,350
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,350
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,350
